str,en_US,ja_JP,zh_CN,ko,zh_TW,es,th,pt,de,fr
黒の鍵,The Black Key,黒の鍵,黑色钥匙,검은 열쇠,黑色鑰匙,La Llave Negra,กุญแจดำ,A Chave Preta,Der Schwarze Schlüssel,La clé noire
廃棄場への扉を開く鍵,The key that opens the door to the junkyard,廃棄場への扉を開く鍵,打开废弃场大门的钥匙,폐기장으로의 문을 여는 열쇠,打開廢棄場大門的鑰匙,La llave que abre la puerta al vertedero,กุญแจที่เปิดประตูสู่ลานขยะ,A chave que abre a porta para o depósito,"Der Schlüssel, der die Tür zum Schrottplatz öffnet",La clé qui ouvre la porte de la décharge
りんご,Apple,りんご,苹果,사과,蘋果,Manzana,แอปเปิ้ล,Maçã,Apfel,Pomme
高濃度の瘴気に汚染された果実。持っているだけで永続的にLUK+1,A fruit contaminated with high concentrations of miasma. Grants a permanent LUK +1 just by holding it (Up to +20),高濃度の瘴気に汚染された果実。持っているだけで永続的にLUK+1 (最大+20まで),被高浓度的瘴气所污染的果实。拥有后即可永久获得LUK+1（上限20）,높은 농도의 사기에 오염된 열매. 가지고 있기만 해도 영구적으로 LUK+1 (최대+20까지),被高濃度的瘴氣所污染的果實。擁有後即可永久獲得LUK+1 (上限20),Una fruta contaminada con altas concentraciones de miasma. Otorga +1 LUK permanente solo por tenerla (hasta +20),ผลไม้ที่ปนเปื้อนมลพิษเข้มข้น ให้ LUK+1 แบบถาวรเพียงแค่ถือไว้ (สูงสุด+20),Uma fruta contaminada com altas concentrações de miasma. Concede LUK permanente +1 apenas por tê-la (Até +20),"Eine Frucht, die mit hohen Konzentrationen von Miasma kontaminiert ist. Verleiht dauerhaft LUK +1 nur durch Halten (bis zu +20)",Un fruit contaminé par une forte concentration de miasme. Confère un LUK +1 permanent rien qu'en le tenant (jusqu'à +20)
広告なし,No ads,広告なし,无广告,광고 없음,無廣告,Sin anuncios,ไม่มีโฆษณา,Sem anúncios,Keine Werbung,Pas de pubs
特別なアンロック,Special Unlock,特別なアンロック,特别解锁,특별한 해금,特別解鎖,Desbloqueo especial,ปลดล็อกพิเศษ,Desbloqueio especial,Spezielle Freischaltung,Déverrouillage spécial
全ての広告を削除,Remove all ads,全ての広告を削除,移除所有广告,모든 광고 삭제,移除所有廣告,Eliminar todos los anuncios,ลบโฆษณาทั้งหมด,Remover todos os anúncios,Alle Werbungen entfernen,Supprimer toutes les pubs
1秒アンケート,1-Second Survey,1秒アンケート,1秒问卷,1초 앙케이트,1秒問卷,Encuesta de 1 segundo,แบบสำรวจ 1 วินาที,Pesquisa de 1 segundo,1-Sekunden-Umfrage,Sondage de 1 seconde
ご回答ありがとうございます,Thank you for your response,ご回答ありがとうございます,感谢您的回答,답변해주셔서 감사합니다,感謝您的回答,Gracias por tu respuesta,ขอบคุณสำหรับการตอบกลับของคุณ,Obrigado pela sua resposta,Vielen Dank für Ihre Antwort,Merci pour votre réponse
いつもWhipperを遊んでいただき、ありがとうございます！,Thank you for always playing Whipper!,いつもWhipperを遊んでいただき、ありがとうございます！,感谢您一直在玩Whipper！,항상 Whipper를 즐겨주셔서 감사합니다!,感謝您一直在玩Whipper！,Gracias por jugar siempre a Whipper.,ขอบคุณที่เล่น Whipper เสมอมา,Obrigado por sempre jogar Whipper!,"Vielen Dank, dass Sie Whipper immer spielen!",Merci de toujours jouer à Whipper !
ゲームを楽しんでいただけていますか？,Are you enjoying the game?,ゲームを楽しんでいただけていますか？,您喜欢这款游戏吗？,게임은 즐거우신가요?,您喜歡這款遊戲嗎？,¿Estás disfrutando del juego?,คุณสนุกกับเกมหรือไม่?,Você está gostando do jogo?,Macht Ihnen das Spiel Spaß?,Appréciez-vous le jeu ?
貴重なご意見ありがとうございます！,Thank you for your valuable feedback!,貴重なご意見ありがとうございます！,感谢您的宝贵意见！,귀중한 의견 감사합니다!,感謝您的寶貴意見！,¡Gracias por tus valiosos comentarios!,ขอบคุณสำหรับความคิดเห็นที่มีค่าของคุณ!,Obrigado pelo seu valioso feedback!,Vielen Dank für Ihr wertvolles Feedback!,Merci pour votre précieux retour !
個人開発ゲームのWhipperにとって、ユーザ様からの星5レビューは大きな励みとなり、さらなる改善への原動力となっています。,A 5-star review from users is a great encouragement for the indie-developed game Whipper and motivates further improvements.,個人開発ゲームのWhipperにとって、ユーザ様からの星5レビューは大きな励みとなり、さらなる改善への原動力となっています。,对个人开发的游戏Whipper来说，用户的五星好评是很大的鼓励，也是游戏不断完善的动力。,"개인 개발 게임인 Whipper에게 있어 유저 여러분의 별 5개 리뷰는 큰 힘이 되고, 추가적인 개선에 대한 원동력이 됩니다.",對個人開發的遊戲Whipper來說，用戶的五星好評是很大的鼓勵，也是遊戲不斷改進的動力。,Una reseña de 5 estrellas de los usuarios es un gran estímulo para el juego indie desarrollado Whipper y motiva mejoras adicionales.,รีวิวระดับ 5 ดาวจากผู้ใช้เป็นแรงกระตุ้นที่ยอดเยี่ยมสำหรับเกม Whipper ที่พัฒนาโดยอินดี้ และกระตุ้นให้มีการพัฒนาต่อไป,Uma avaliação de 5 estrelas dos usuários é um grande incentivo para o jogo indie Whipper e motiva melhorias adicionais.,Eine 5-Sterne-Bewertung von Nutzern ist eine große Ermutigung für das Indie-Entwickler-Spiel Whipper und motiviert zu weiteren Verbesserungen.,Une évaluation 5 étoiles des utilisateurs est un grand encouragement pour le jeu indépendant Whipper et motive des améliorations supplémentaires.
皆様のおかげで、このゲームは進化し続けています。,"Thanks to all of you, this game continues to evolve.",皆様のおかげで、このゲームは進化し続けています。,感谢大家的支持，这款游戏才得以不断完善。,여러분 덕분에 이 게임은 계속 진화해나갑니다.,感謝大家的支持，這款遊戲得以不斷精進。,"Gracias a todos ustedes, este juego sigue evolucionando.",ขอบคุณทุกท่าน เกมนี้ยังคงพัฒนาอย่างต่อเนื่อง,"Graças a todos vocês, este jogo continua a evoluir.",Dank Ihnen allen entwickelt sich dieses Spiel ständig weiter.,"Grâce à vous tous, ce jeu continue d'évoluer."
もし楽しんでいただけたなら、ぜひストアでレビューをお願いいたします！,"If you're enjoying it, please consider leaving a review on the store!",もし楽しんでいただけたなら、ぜひストアでレビューをお願いいたします！,如果您喜欢它，请务必在商店里留下评论！,"만약 즐겁게 플레이하고 계시다면, 스토어에 리뷰를 남겨주시기 바랍니다!",如果您喜歡它，請務必在商店裡留下評論！,"Si lo estás disfrutando, considera dejar una reseña en la tienda.",หากคุณสนุกกับเกมนี้ โปรดพิจารณาเขียนรีวิวในร้านค้า,"Se você estiver gostando, considere deixar uma avaliação na loja!","Wenn es Ihnen gefällt, hinterlassen Sie bitte eine Bewertung im Store!","Si vous l'appréciez, veuillez envisager de laisser un avis sur le store !"
ご不満な点がもしあれば、メニューの「お問い合わせ」から、ぜひお聞かせください。,"If you have any concerns, please feel free to contact us via the 'Contact Us' option in the menu.",ご不満な点がもしあれば、メニューの「お問い合わせ」から、ぜひお聞かせください。,如果有任何不满意的地方，请通过游戏菜单中的“联系我们”告诉我们。,"불만스러운 점이 만약 있으시다면, 메뉴의 「문의」 탭을 통해 들려주십시오.",如果有任何不滿意的地方，請透過遊戲選單中的「聯絡我們」告訴我們。,"Si tienes alguna inquietud, no dudes en contactarnos a través de la opción 'Contáctanos' en el menú.",หากคุณมีข้อกังวลใด ๆ โปรดอย่าลังเลที่จะติดต่อเราผ่านตัวเลือก 'ติดต่อเรา' ในเมนู,"Se você tiver alguma preocupação, sinta-se à vontade para entrar em contato através da opção 'Fale Conosco' no menu.","Wenn Sie Bedenken haben, kontaktieren Sie uns bitte über die Option „Kontakt“ im Menü.","Si vous avez des préoccupations, n'hésitez pas à nous contacter via l'option 'Nous contacter' dans le menu."
んー...,Hmm...,んー...,嗯……,흠...,嗯...,Eh...,อืม...,Hmm...,Hmm...,Hmm...
はい！,Yes!,はい！,是！,네!,是！,¡Sí!,ใช่!,Sim!,Ja!,Oui !
あとで,Later,あとで,稍后,나중에,稍後,Más tarde,ทีหลัง,Mais tarde,Später,Plus tard
レビューする,Leave a review,レビューする,写评论,리뷰한다,寫評論,Dejar una reseña,เขียนรีวิว,Deixar uma avaliação,Eine Bewertung abgeben,Laisser un avis
攻撃タイプ,Attack Type,攻撃タイプ,攻击类型,공격 유형,攻擊類型,Tipo de ataque,ประเภทการโจมตี,Tipo de ataque,Angriffstyp,Type d'attaque
Slashing,Slashing,斬撃,斩击,참격,斬擊,Slashing,การฟัน,Corte,Hieb,Tranchant
Bludgeoning,Bludgeoning,打撃,打击,타격,打擊,Bludgeoning,การทุบ,Golpe Contundente,Schlag,Contondant
Piercing,Piercing,刺突,突刺,찌르기,突刺,Piercing,การแทง,Perfuração,Stich,Perforant
Projectile,Projectile,投射,投射,투척,投射,Projectile,การยิง,Projétil,Projektil,Projectiles
基礎攻撃力,Basic Attack Power,基礎攻撃力,基础攻击力,기본 공격력,基礎攻擊力,Poder de ataque básico,พลังโจมตีพื้นฐาน,Poder de ataque básico,Grundangriffskraft,Puissance d'attaque de base
基礎守備力,Basic Defense Power,基礎守備力,基础防御力,기본 방어력,基礎防禦力,Poder de defensa básico,พลังป้องกันพื้นฐาน,Poder de defesa básico,Grundverteidigungskraft,Puissance de défense de base
瘴気侵蝕,Miasma Corrosion,瘴気侵蝕,瘴气侵蚀,사기 침식,瘴氣侵蝕,Corrosión por miasma,การกัดกร่อนจากมลทิน,Corrosão por miasma,Miasma-Korrosion,Corrosion de miasme
侵蝕度,Corrosion Level,侵蝕度,侵蚀度,침식도,侵蝕度,Nivel de corrosión,ระดับการกัดกร่อน,Nível de corrosão,Korrosionsgrad,Niveau de corrosion
強化による上昇量,Increase by Upgrade,強化による上昇量,强化的提升量,강화에 의한 상승량,通過升級的提升量,Aumento por mejora,เพิ่มขึ้นด้วยการปรับปรุง,Aumento por melhoria,Erhöhung durch Aufwertung,Augmenter par amélioration
シェア,Share,シェア,分享,공유,分享,Compartir,แบ่งปัน,Compartilhar,Teilen,Partager
画像をシェアする,Share image,画像をシェアする,分享图片,이미지 공유하기,分享圖片,Compartir imagen,แบ่งปันภาพ,Compartilhar imagem,Bild teilen,Partager l'image
外見・名前を表示,Display Appearance & Name,外見・名前を表示,显示外观和名字,외관・이름을 표시,顯示外觀和名字,Mostrar apariencia y nombre,แสดงลักษณะและชื่อ,Exibir aparência e nome,Aussehen & Name anzeigen,Afficher l'apparence et le nom
強さレート,Power Rating,強さレーティング,实力评分,파워 레이팅,實力評分,Clasificación de potencia,การจัดอันดับพลัง,Classificação de potência,Leistungsbewertung,Indice de puissance
レーティング,Rating,レーティング,评分,레이팅,評分,Clasificación,การจัดอันดับ,Classificação,Bewertung,Évaluation
Lv時XXX,{param} at Lv{num},Lv{num}時点 {param},Lv{num}时 {param},Lv{num}일 때의 {param},Lv{num}時 {param},{param} en Lv{num},{param} ที่ Lv{num},{param} em Lv{num},{param} auf Stufe {num},{param} au Niv{num}
レベルアップシミュレーション,Level Up Simulation,レベルアップシミュレーション,升级模拟,레벨업 시뮬레이션,升級模擬,Simulación de subida de nivel,การจำลองการเลื่อนระดับ,Simulação de subida de nível,Level-up-Simulation,Simulation de montée de niveau
回避率,Evasion Rate,回避率,闪避率,회피율,閃避率,Tasa de evasión,อัตราการหลบหลีก,Taxa de evasão,Ausweichrate,Taux d'évasion
連続攻撃確率,Consecutive Attack Probability,連続攻撃確率,连续攻击的几率,연속 공격 확률,連續攻擊的幾率,Probabilidad de ataques consecutivos,ความน่าจะเป็นของการโจมตีต่อเนื่อง,Probabilidade de ataques consecutivos,Wahrscheinlichkeit auf aufeinanderfolgende Angriffe,Probabilité d'attaque consécutive
敵HPのN%,{param}% of Enemy HP,敵HPの{param}%,敌人HP的{param}%,적 HP의 {param}%,敵人HP的{param}%,{param}% de la vida del enemigo,{param}% ของ HP ศัตรู,{param}% do HP inimigo,{param}% der Gegner-HP,{param}% des PV ennemis
蓄積,Stack,蓄積,叠加,축적,疊加,Stack,การสะสม,Stack,Stapel,Pile
魔物の強さレート,Average Monster Rating,魔物の平均レーティング,魔物平均实力,마물의 평균 레이팅,魔物平均實力,Clasificación promedio de monstruos,การจัดอันดับมอนสเตอร์เฉลี่ย,Classificação média de monstros,Durchschnittliche Monsterbewertung,Évaluation moyenne des monstres
最大冒険時間,Max Adventure Time,最大冒険時間,最大冒险时间,최대 모험 시간,最大冒險時間,Tiempo máximo de aventura,เวลาการผจญภัยสูงสุด,Tempo máximo de aventura,Maximale Abenteuerzeit,Temps d'aventure max
プリセット,Preset,プリセット,预设,프리셋,預設,Preestablecido,พรีเซ็ต,Predefinido,Voreinstellung,Préréglage
登録,Register,登録,登记,등록,登記,Registrar,ลงทะเบียน,Registrar,Registrieren,Enregistrer
現在の装備品と永続ブーストを、このプリセットに登録しますか？,Do you want to register the current equipment and permanent boosts to this preset?,現在の装備品と永続ブーストを、このプリセットに登録しますか？,是否将当前装备和永久提升的配点登记在此预设配置中？,현재 장비 중인 아이템과 영구 부스트를 이 프리셋에 등록하시겠습니까?,是否將目前裝備和永久提升的配點登記在此預設配置中？,¿Deseas registrar el equipo actual y los impulsos permanentes a este preajuste?,คุณต้องการลงทะเบียนอุปกรณ์ปัจจุบันและบูสต์ถาวรไปยังพรีเซ็ตนี้หรือไม่?,Deseja registrar o equipamento atual e os impulsos permanentes neste predefinido?,Möchten Sie die aktuelle Ausrüstung und permanente Verbesserungen in dieser Voreinstellung speichern?,Voulez-vous enregistrer l'équipement actuel et les bonus permanents dans ce préréglage ?
反映,Apply,反映,应用,반영,應用,Aplicar,นำไปใช้,Aplicar,Anwenden,Appliquer
このプリセットを、現在の装備品と永続ブーストに反映しますか？,Do you want to apply this preset to the current equipment and permanent boosts?,このプリセットを、現在の装備品と永続ブーストに反映しますか？,是否将此预设配置应用于当前装备和永久提升中？,이 프리셋을 현재 장비 아이템과 영구 부스트에 반영하시겠습니까?,是否將此預設配置應用於目前裝備和永久提升？,¿Deseas aplicar este preajuste al equipo actual y a los impulsos permanentes?,คุณต้องการใช้พรีเซ็ตนี้กับอุปกรณ์ปัจจุบันและบูสต์ถาวรหรือไม่?,Deseja aplicar este predefinido ao equipamento atual e aos impulsos permanentes?,Möchten Sie diese Voreinstellung auf die aktuelle Ausrüstung und permanente Verbesserungen anwenden?,Voulez-vous appliquer ce préréglage à l'équipement actuel et aux bonus permanents ?
プリセット名変更,Rename Preset,プリセット名変更,更改预设名,프리셋 이름 변경,更改預設名,Renombrar preajuste,เปลี่ยนชื่อพรีเซ็ต,Renomear predefinido,Voreinstellung umbenennen,Renommer le préréglage
削除,Delete,削除,删除,삭제,刪除,Eliminar,ลบ,Excluir,Löschen,Supprimer
このプリセットを削除しますか？,Do you want to delete this preset?,このプリセットを削除しますか？,是否删除此预设配置？,이 프리셋을 삭제하시겠습니까?,是否刪除此預設配置？,¿Deseas eliminar este preajuste?,คุณต้องการลบพรีเซ็ตนี้หรือไม่?,Deseja excluir este predefinido?,Möchten Sie diese Voreinstellung löschen?,Voulez-vous supprimer ce préréglage ?
プリセット登録されているアイテムはお気に入り解除できません,Items registered to a preset cannot be unfavorited.,プリセット登録されているアイテムはお気に入り解除できません,登记在预设配置中的物品无法取消收藏。,프리셋에 등록되어 있는 아이템은 즐겨찾기 해제가 불가능합니다,登記在預設配置中的物品無法取消收藏。,Los ítems registrados a un preajuste no se pueden desmarcar como favoritos.,ไอเท็มที่ลงทะเบียนในพรีเซ็ตไม่สามารถยกเลิกการตั้งค่าที่ชื่นชอบได้,Itens registrados em um predefinido não podem ser desmarcados como favoritos.,In einer Voreinstellung registrierte Gegenstände können nicht entfavorisiert werden.,Les objets enregistrés dans un préréglage ne peuvent pas être retirés des favoris.
冒険速度2倍,Adventure Speed x2,冒険速度2倍,冒险速度2倍,모험 속도 2배,冒險速度2倍,Aventura rápida x2,การผจญภัยเร็ว x2,Aventura rápida x2,Abenteuergeschwindigkeit x2,Vitesse d'aventure x2
冒険者がダンジョンをダッシュで駆け抜け、いつもの冒険を1/2の時間でこなすことができます。,"Adventurers dash through the dungeon, completing the usual adventure in half the time.",冒険者がダンジョンをダッシュで駆け抜け、いつもの冒険を1/2の時間でこなすことができます。,冒险者快速穿越迷宫，将普通冒险的时间缩短一半。,모험가가 던전을 질주하며 평소보다 절반의 시간으로 모험을 완료합니다.,冒險者快速穿越迷宮，將普通冒險的時間縮短一半。,"Los aventureros recorren el calabozo rápidamente, completando la aventura habitual en la mitad de tiempo.",นักผจญภัยวิ่งผ่านดันเจี้ยนอย่างรวดเร็ว ทำการผจญภัยปกติให้เสร็จในครึ่งเวลา,"Os aventureiros atravessam a masmorra rapidamente, completando a aventura habitual em metade do tempo.",Abenteurer rasen durch den Dungeon und beenden das übliche Abenteuer in der halben Zeit.,"Les aventuriers traversent le donjon, terminant l'aventure habituelle en deux fois moins de temps."
探索速度,Exploration Speed,探索速度,探索速度,탐색 속도,探索速度,Velocidad de exploración,ความเร็วในการสำรวจ,Velocidade de exploração,Erkundungsgeschwindigkeit,Vitesse d'exploration
倍速,{n}x speed,{n}倍速,{n}倍速,{n}배속,{n}倍速,Velocidad {n}x,ความเร็ว {n}x,Velocidade {n}x,{n}x Geschwindigkeit,Vitesse {n}x
(残り:つ),(Remaining: {remain}),(残り:{remain}つ),（剩余：{remain}个）,(남은 개수: {remain}개),（剩餘：{remain}個）,(Restante: {remain}),(เหลือ: {remain}),(Restante: {remain}),(Rest: {remain}),(Restant : {remain})
ロストを確実に回避する,Ensures avoidance of losses,ロストを確実に回避する,确保避免丢失,손실을 확실히 회피합니다.,確保避免丟失,Asegura evitar pérdidas,รับประกันการหลีกเลี่ยงการสูญเสีย,Garante evitar perdas,Vermeidet Verluste,Assure l'évitement des pertes
隠者の秘宝。ロストしたアイテムを全て取り戻すことができる,Hermit's Treasure. Allows you to recover all lost items,隠者の秘宝。ロストしたアイテムを全て取り戻すことができる,隐者的秘宝。可以取回所有丢失的物品。,은둔자의 비보. 잃어버린 모든 아이템을 되찾을 수 있습니다,隱者的秘寶。可以取回所有遺失的物品,Tesoro del Ermitaño. Permite recuperar todos los ítems perdidos,สมบัติของฤาษี ทำให้คุณสามารถกู้คืนไอเท็มทั้งหมดที่สูญหายได้,Tesouro do Eremita. Permite recuperar todos os itens perdidos.,"Schatz des Einsiedlers. Ermöglicht es, alle verlorenen Gegenstände wiederherzustellen",Trésor de l'ermite. Permet de récupérer tous les objets perdus
隠者の秘宝。足が速くなり、いつもの冒険を1/2の時間でこなすことができる,"Hermit's Treasure. Increases speed, allowing the usual adventure to be completed in half the time",隠者の秘宝。足が速くなり、いつもの冒険を1/2の時間でこなすことができる,隐者的秘宝。加快脚步，将普通冒险的时间缩短一半。,은둔자의 비보. 속도가 빨라져 평소보다 절반의 시간으로 모험을 완료할 수 있습니다,隱者的秘寶。加快腳步，將普通冒險的時間縮短一半,"Tesoro del Ermitaño. Aumenta la velocidad, permitiendo completar la aventura habitual en la mitad de tiempo.",สมบัติของฤาษี เพิ่มความเร็ว ทำให้การผจญภัยปกติสำเร็จได้ในครึ่งเวลา,"Tesouro do Eremita. Aumenta a velocidade, permitindo completar a aventura habitual em metade do tempo.","Schatz des Einsiedlers. Erhöht die Geschwindigkeit, sodass das übliche Abenteuer in der halben Zeit abgeschlossen werden kann","Trésor de l'ermite. Augmente la vitesse, permettant de terminer l'aventure habituelle en deux fois moins de temps"
逆転の砂時計,Reversal Hourglass,逆転の砂時計,逆转的沙漏,역전의 모래시계,逆轉的沙漏,Reloj de arena invertido,นาฬิกาทรายกลับด้าน,Ampulheta Reversa,Sanduhr der Umkehr,Sablier de renversement
逆転の砂時計を使用,Use Reversal Hourglass,逆転の砂時計を使用,使用逆转的沙漏,역전의 모래시계를 사용,使用逆轉的沙漏,Usar el reloj de arena invertido,ใช้ นาฬิกาทรายกลับด้าน,Usar a Ampulheta Reversa,Sanduhr der Umkehr verwenden,Utiliser le Sablier de renversement
瞬足の羽飾り,Swiftfoot's Feather,瞬足の羽飾り,瞬足的羽饰,순발력의 깃털 장식,瞬足的羽飾,Pluma de pies ligeros,ขนนกเท้าความเร็ว,Pena de Pé Rápido,Feder des Schnellfußes,Plume de Pieds-agiles
記録,Records,記録,记录,기록,記錄,Registros,บันทึก,Registros,Aufzeichnungen,Enregistrements
世界探訪の記録,World Exploration Records,世界探訪の記録,世界探险的记录,세계 탐방 기록,世界探險的記錄,Registro de exploración mundial,บันทึกการสำรวจโลก,Registro de exploração mundial,Aufzeichnungen der Welterkundung,Enregistrements d'exploration du monde
冒険時間の合計,Total Adventure Time,冒険時間の合計,总冒险时长,모험 시간 합계,總冒險時長,Tiempo total de aventura,เวลาผจญภัยรวม,Tempo total de aventura,Gesamte Abenteuerzeit,Temps d'aventure total
BPの合計,Total BP,BPの合計,总BP数,BP 합계,總BP數,BP total,BP รวม,Total de BP,Gesamtes BP,BP total
入手率,Acquisition Rate,入手率,获取率,입수율,獲得率,Tasa de adquisición,อัตราการได้รับ,Taxa de aquisição,Erwerbsrate,Taux d'acquisition
最高踏破記録,Deepest Floor Reached,最高踏破記録,最深楼层记录,최고 돌파 기록,最深層記錄,Piso más profundo alcanzado,สถิติสูงสุดที่เคยสำรวจ,Andar mais profundo alcançado,Tiefste erreichte Etage,Étage le plus profond atteint
討伐の証,Proof of Subjugation,討伐の証,讨伐之证,토벌의 증표,討伐之證,Prueba de Subyugación,หลักฐานการปราบปราม,Prova de Subjugação,Beweis der Unterwerfung,Preuve de subjugation
未入手,Not Obtained,未入手,未获取,미입수,未獲取,No obtenido,ยังไม่ได้รับ,Não obtido,Nicht erhalten,Non obtenu
よくある質問,FAQ,よくある質問,常见问题,자주 묻는 질문,常見問題,Preguntas frecuentes,คำถามที่พบบ่อย,Perguntas frequentes,Häufig gestellte Fragen,FAQ
冒険者のレベルが毎回1に戻ってしまう,The adventurer's level resets to 1 every time,冒険者のレベルが毎回1に戻ってしまう,冒险者的等级每次回到1级,모험가의 레벨이 매번 1로 돌아갑니다,冒險者的等級每次回到1級,El nivel del aventurero se reinicia a 1 cada vez,เลเวลของนักผจญภัยถูกรีเซ็ตเป็น 1 ทุกครั้ง,O nível do aventureiro é redefinido para 1 todas as vezes,Das Level des Abenteurers wird jedes Mal auf 1 zurückgesetzt,Le niveau de l'aventurier est réinitialisé à 1 à chaque fois
ダンジョンをクリアしたのに次のダンジョンが出現しない,The next dungeon does not appear even after clearing the current one,ダンジョンをクリアしたのに次のダンジョンが出現しない,通关了迷宫，下一个迷宫却没有出现,던전을 클리어했는데도 다음 던전이 나타나지 않습니다,通關了迷宮，但下一個迷宮沒有出現,El siguiente calabozo no aparece incluso después de completar el actual,ดันเจี้ยนถัดไปไม่ปรากฏแม้เคลียร์ดันเจี้ยนปัจจุบันแล้ว,A próxima masmorra não aparece mesmo após limpar a atual,"Der nächste Dungeon erscheint nicht, obwohl der aktuelle abgeschlossen wurde",Le donjon suivant n'apparaît pas même après avoir terminé l'actuel
次のダンジョンを解放するには、現在のダンジョンの最深階をクリアする必要があります。最深階は旗のマークが付いている階層です。,"To unlock the next dungeon, you must clear the deepest floor of the current dungeon. The deepest floor is marked with a flag.",次のダンジョンを解放するには、現在のダンジョンの最深階をクリアする必要があります。最深階は旗のマークが付いている階層です。,解锁下一个迷宫需要通关当前迷宫的最深楼层。最深楼层是指带有旗帜标记的楼层。,다음 던전을 해제하려면 현재 던전의 최심계를 클리어해야 합니다. 최심계는 깃발 표시가 있는 층입니다。,解鎖下一個迷宮需要通關目前迷宮的最深樓層。最深樓層是指有旗幟標記的樓層。,"Para desbloquear la siguiente mazmorra, debes completar el piso más profundo del calabozo actual. El piso más profundo está marcado con una bandera.",ในการปลดล็อกดันเจี้ยนถัดไป คุณต้องผ่านชั้นลึกสุดของดันเจี้ยนปัจจุบัน ชั้นลึกสุดจะมีสัญลักษณ์ธง,"Para desbloquear a próxima masmorra, é necessário limpar o piso mais profundo da masmorra atual. O piso mais profundo é marcado com uma bandeira.","Um den nächsten Dungeon freizuschalten, musst du die tiefste Ebene des aktuellen Dungeons abschließen. Die tiefste Ebene ist mit einer Fahne markiert.","Pour déverrouiller le donjon suivant, vous devez terminer l'étage le plus profond du donjon actuel. L'étage le plus profond est marqué d'un drapeau."
討伐の証がレベルアップしない,The Proof of Subjugation does not level up,討伐の証がレベルアップしない,讨伐之证未升级,토벌의 증표가 레벨업되지 않습니다,討伐之證未升級,La Prueba de Subyugación no sube de nivel,หลักฐานการปราบปรามไม่ได้เลเวลอัพ,A Prova de Subjugação não sobe de nível,Der Beweis der Unterwerfung steigt nicht im Level auf,La Preuve de subjugation ne monte pas de niveau
討伐の証は、対象のボスを倒すことでレベルアップします。ただし、そのダンジョンの「瘴気濃度」のレベルまでしか上がりません。さらに、レベルは1ずつ上がるため、目標のレベルに達するまで複数回ボスを倒す必要があります。,"The Proof of Subjugation levels up by defeating the corresponding boss. However, it can only be raised up to the dungeon's Miasma level. Additionally, levels increase one by one, so you need to defeat the boss multiple times to reach the target level.",討伐の証は、対象のボスを倒すことでレベルアップします。ただし、そのダンジョンの「瘴気濃度」のレベルまでしか上がりません。さらに、レベルは1ずつ上がるため、目標のレベルに達するまで複数回ボスを倒す必要があります。,讨伐之证通过击败对应的BOSS来升级。但是，只能提升到该迷宫的“瘴气浓度”等级。此外，等级每次只会提升1级，因此需要多次击败BOSS才能达到目标等级。,토벌의 증표는 해당 보스를 처치하면 레벨업됩니다. 하지만 그 던전의 사기 농도 레벨까지밖에 오르지 않습니다. 또한 레벨은 한 단계씩 오르므로 목표 레벨에 도달하려면 보스를 여러 번 처치해야 합니다。,討伐之證透過擊敗對應的BOSS來升級。但是，只能提升到該迷宮的「瘴氣濃度」等級。此外，等級每次只會提升1級，因此需要多次擊敗BOSS才能達到目標等級。,"La Prueba de Subyugación sube de nivel al derrotar al jefe correspondiente. Sin embargo, solo puede aumentarse hasta el nivel de Niebla tóxica de la mazmorra. Además, los niveles suben de uno en uno, por lo que necesitarás derrotar al jefe varias veces para alcanzar el nivel objetivo.",หลักฐานการปราบปรามจะเลเวลอัพโดยการเอาชนะบอสที่เกี่ยวข้อง อย่างไรก็ตาม สามารถเพิ่มได้เพียงระดับ ความเข้มข้นของหมอกพิษ ของดันเจี้ยนเท่านั้น นอกจากนี้ เลเวลจะเพิ่มทีละ 1 ดังนั้นคุณต้องเอาชนะบอสหลายครั้งเพื่อไปถึงเลเวลเป้าหมาย,"A Prova de Subjugação sobe de nível ao derrotar o chefe correspondente. No entanto, ela só pode ser aumentada até o nível de Névoa Tóxica da masmorra. Além disso, os níveis aumentam um a um, então é necessário derrotar o chefe várias vezes para alcançar o nível desejado.","Der Beweis der Unterwerfung steigt im Level, wenn du den entsprechenden Boss besiegst. Er kann jedoch nur bis zum Miasma-Level des Dungeons steigen. Außerdem erhöht sich das Level jeweils nur um eins, daher musst du den Boss mehrmals besiegen, um das gewünschte Level zu erreichen.","La Preuve de subjugation monte de niveau en battant le boss correspondant. Cependant, elle ne peut être augmentée que jusqu'au niveau de Miasme du donjon. De plus, les niveaux augmentent un par un, donc vous devez battre le boss plusieurs fois pour atteindre le niveau cible."
