Rank 1000: HP: 440, STR: 289436, VIT: 99, SPD: 16, LUK: 1, Attack: 374014, Defense: 84118, Current HP: 440, A Avg: 994877, D Avg: 84118, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 200: HP: 659, STR: 345830, VIT: 209, SPD: 17, LUK: 1, Attack: 429628, Defense: 86087, Current HP: 659, A Avg: 1142810, D Avg: 86087, [Ninja(135)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 199: HP: 402, STR: 345884, VIT: 132, SPD: 16, LUK: 1, Attack: 429649, Defense: 84060, Current HP: 402, A Avg: 1142866, D Avg: 84060, [Club(102)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 198: HP: 240, STR: 345884, VIT: 110, SPD: 16, LUK: 1, Attack: 429652, Defense: 83843, Current HP: 240, A Avg: 1142874, D Avg: 83843, [Decorative Swords(109)[230, 230, 230], High Pot Lid(202)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 197: HP: 551, STR: 345805, VIT: 142, SPD: 16, LUK: 1, Attack: 429661, Defense: 83979, Current HP: 551, A Avg: 1142898, D Avg: 83979, [Emerald Sword(115)[230, 230, 230], Emerald Shield(209)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 196: HP: 304, STR: 345895, VIT: 141, SPD: 16, LUK: 1, Attack: 429667, Defense: 84069, Current HP: 304, A Avg: 1142914, D Avg: 84069, [Short Sword(103)[230, 230, 230], Tower Shield(213)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 195: HP: 522, STR: 345895, VIT: 290, SPD: 16, LUK: 1, Attack: 429670, Defense: 87091, Current HP: 522, A Avg: 1142922, D Avg: 87091, [Peacemaker(131)[230, 230, 230], Riot(236)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 194: HP: 228, STR: 345949, VIT: 132, SPD: 16, LUK: 1, Attack: 429721, Defense: 83995, Current HP: 228, A Avg: 1143057, D Avg: 83995, [Wasp Knife(105)[230, 230, 230], Titanium Shield(205)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 193: HP: 304, STR: 345934, VIT: 141, SPD: 16, LUK: 1, Attack: 429745, Defense: 84069, Current HP: 304, A Avg: 1143121, D Avg: 84069, [Long Sword(104)[230, 230, 230], Tower Shield(213)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 192: HP: 659, STR: 345855, VIT: 225, SPD: 17, LUK: 1, Attack: 429757, Defense: 86103, Current HP: 659, A Avg: 1143153, D Avg: 86103, [Crossed Shuriken(136)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 191: HP: 560, STR: 345859, VIT: 290, SPD: 16, LUK: 1, Attack: 429761, Defense: 87091, Current HP: 560, A Avg: 1143164, D Avg: 87091, [Daydream(132)[230, 230, 230], Riot(236)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 190: HP: 564, STR: 345974, VIT: 257, SPD: 17, LUK: 1, Attack: 429772, Defense: 86135, Current HP: 564, A Avg: 1143193, D Avg: 86135, [Ninja(135)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 189: HP: 716, STR: 345967, VIT: 685, SPD: 16, LUK: 1, Attack: 429783, Defense: 87473, Current HP: 716, A Avg: 1143222, D Avg: 87473, [Hand Axe(140)[230, 230, 230], Golem Shield(245)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 188: HP: 456, STR: 345949, VIT: 193, SPD: 16, LUK: 1, Attack: 429805, Defense: 84030, Current HP: 456, A Avg: 1143281, D Avg: 84030, [Emerald Sword(115)[230, 230, 230], Emerald Shield(209)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 187: HP: 427, STR: 346039, VIT: 341, SPD: 16, LUK: 1, Attack: 429814, Defense: 87142, Current HP: 427, A Avg: 1143305, D Avg: 87142, [Peacemaker(131)[230, 230, 230], Riot(236)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 186: HP: 522, STR: 345862, VIT: 328, SPD: 16, LUK: 1, Attack: 429829, Defense: 87168, Current HP: 522, A Avg: 1143345, D Avg: 87168, [Phantom Sword(117)[230, 230, 230], Aurora Shield(240)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 185: HP: 813, STR: 345823, VIT: 637, SPD: 16, LUK: 1, Attack: 429829, Defense: 87425, Current HP: 813, A Avg: 1143345, D Avg: 87425, [Crescent(141)[230, 230, 230], Golem Shield(245)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 184: HP: 660, STR: 345967, VIT: 488, SPD: 16, LUK: 1, Attack: 429856, Defense: 87523, Current HP: 660, A Avg: 1143416, D Avg: 87523, [Iron Lumps(108)[230, 230, 230], Warrior's Shield(249)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 183: HP: 1634, STR: 345920, VIT: 142, SPD: 16, LUK: 1, Attack: 429861, Defense: 86059, Current HP: 1634, A Avg: 1143430, D Avg: 86059, [Rusty Knife(156)[230, 230, 230], Frying Pan(231)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 182: HP: 564, STR: 345999, VIT: 273, SPD: 17, LUK: 1, Attack: 429901, Defense: 86151, Current HP: 564, A Avg: 1143536, D Avg: 86151, [Crossed Shuriken(136)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 181: HP: 465, STR: 346003, VIT: 341, SPD: 16, LUK: 1, Attack: 429905, Defense: 87142, Current HP: 465, A Avg: 1143547, D Avg: 87142, [Daydream(132)[230, 230, 230], Riot(236)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 180: HP: 412, STR: 345916, VIT: 132, SPD: 16, LUK: 1, Attack: 429909, Defense: 84060, Current HP: 412, A Avg: 1143557, D Avg: 84060, [Sword of Wood(124)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 179: HP: 342, STR: 345178, VIT: 300, SPD: 16, LUK: 1, Attack: 429966, Defense: 84306, Current HP: 342, A Avg: 1143709, D Avg: 84306, [Pulse Knife(165)[230, 230, 230], Wings of Beast(210)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 178: HP: 323, STR: 345178, VIT: 984, SPD: 16, LUK: 1, Attack: 429966, Defense: 86654, Current HP: 323, A Avg: 1143709, D Avg: 86654, [Pulse Knife(165)[230, 230, 230], Shield of Thousand(246)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 177: HP: 313, STR: 345967, VIT: 141, SPD: 16, LUK: 1, Attack: 429966, Defense: 84069, Current HP: 313, A Avg: 1143709, D Avg: 84069, [Greatsword(127)[230, 230, 230], Tower Shield(213)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 176: HP: 427, STR: 346006, VIT: 376, SPD: 16, LUK: 1, Attack: 429973, Defense: 87216, Current HP: 427, A Avg: 1143728, D Avg: 87216, [Phantom Sword(117)[230, 230, 230], Aurora Shield(240)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 175: HP: 718, STR: 345967, VIT: 688, SPD: 16, LUK: 1, Attack: 429973, Defense: 87476, Current HP: 718, A Avg: 1143728, D Avg: 87476, [Crescent(141)[230, 230, 230], Golem Shield(245)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 174: HP: 1539, STR: 346064, VIT: 193, SPD: 16, LUK: 1, Attack: 430005, Defense: 86110, Current HP: 1539, A Avg: 1143813, D Avg: 86110, [Rusty Knife(156)[230, 230, 230], Frying Pan(231)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 173: HP: 660, STR: 345999, VIT: 488, SPD: 16, LUK: 1, Attack: 430005, Defense: 87523, Current HP: 660, A Avg: 1143813, D Avg: 87523, [Great Iron Mass(122)[230, 230, 230], Warrior's Shield(249)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 172: HP: 617, STR: 345923, VIT: 241, SPD: 17, LUK: 1, Attack: 430033, Defense: 86119, Current HP: 617, A Avg: 1143887, D Avg: 86119, [Windmill(137)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 171: HP: 395, STR: 345259, VIT: 300, SPD: 16, LUK: 1, Attack: 430047, Defense: 84800, Current HP: 395, A Avg: 1143925, D Avg: 84800, [Pulse Knife(165)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 170: HP: 560, STR: 345891, VIT: 336, SPD: 16, LUK: 1, Attack: 430079, Defense: 87137, Current HP: 560, A Avg: 1144010, D Avg: 87137, [Cagliostro(133)[230, 230, 230], Riot(236)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 169: HP: 660, STR: 346258, VIT: 292, SPD: 16, LUK: 1, Attack: 430082, Defense: 86404, Current HP: 660, A Avg: 1144018, D Avg: 86404, [Stun Knuckle(106)[230, 230, 230], Goblin Hand(250)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 168: HP: 602, STR: 345905, VIT: 81, SPD: 16, LUK: 1, Attack: 430093, Defense: 84009, Current HP: 602, A Avg: 1144047, D Avg: 84009, [Sword of the Spirit Tree(125)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 167: HP: 429, STR: 346060, VIT: 209, SPD: 16, LUK: 1, Attack: 430170, Defense: 84137, Current HP: 429, A Avg: 1144252, D Avg: 84137, [Dragon Killer(139)[230, 230, 230], Tower Shield(213)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 166: HP: 522, STR: 346067, VIT: 289, SPD: 17, LUK: 1, Attack: 430177, Defense: 86167, Current HP: 522, A Avg: 1144270, D Avg: 86167, [Windmill(137)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 165: HP: 342, STR: 345423, VIT: 286, SPD: 16, LUK: 1, Attack: 430211, Defense: 84149, Current HP: 342, A Avg: 1144361, D Avg: 84149, [Pulse Knife(165)[230, 230, 230], Small Sword(218)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 164: HP: 465, STR: 346035, VIT: 387, SPD: 16, LUK: 1, Attack: 430223, Defense: 87188, Current HP: 465, A Avg: 1144393, D Avg: 87188, [Cagliostro(133)[230, 230, 230], Riot(236)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 163: HP: 507, STR: 346049, VIT: 132, SPD: 16, LUK: 1, Attack: 430237, Defense: 84060, Current HP: 507, A Avg: 1144430, D Avg: 84060, [Sword of the Spirit Tree(125)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 162: HP: 431, STR: 345474, VIT: 308, SPD: 16, LUK: 1, Attack: 430262, Defense: 84314, Current HP: 431, A Avg: 1144496, D Avg: 84314, [Pulse Knife(165)[230, 230, 230], Small Dragon Sword(224)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 161: HP: 465, STR: 345500, VIT: 300, SPD: 16, LUK: 1, Attack: 430288, Defense: 84189, Current HP: 465, A Avg: 1144566, D Avg: 84189, [Pulse Knife(165)[230, 230, 230], Small Lion(219)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 160: HP: 537, STR: 345866, VIT: 318, SPD: 16, LUK: 1, Attack: 430288, Defense: 87158, Current HP: 537, A Avg: 1144566, D Avg: 87158, [Dreaming Sword(128)[230, 230, 230], Aurora Shield(240)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 159: HP: 420, STR: 346013, VIT: 510, SPD: 16, LUK: 1, Attack: 430331, Defense: 87298, Current HP: 420, A Avg: 1144680, D Avg: 87298, [Ruby Knuckle(151)[230, 230, 230], Energy Shield(227)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 158: HP: 893, STR: 345608, VIT: 800, SPD: 16, LUK: 1, Attack: 430396, Defense: 88368, Current HP: 893, A Avg: 1144853, D Avg: 88368, [Pulse Knife(165)[230, 230, 230], Storm Wall(242)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 157: HP: 442, STR: 346010, VIT: 366, SPD: 16, LUK: 1, Attack: 430432, Defense: 87206, Current HP: 442, A Avg: 1144949, D Avg: 87206, [Dreaming Sword(128)[230, 230, 230], Aurora Shield(240)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 156: HP: 902, STR: 345923, VIT: 686, SPD: 16, LUK: 1, Attack: 430436, Defense: 87474, Current HP: 902, A Avg: 1144959, D Avg: 87474, [Volcano(142)[230, 230, 230], Golem Shield(245)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 155: HP: 770, STR: 346031, VIT: 524, SPD: 16, LUK: 1, Attack: 430544, Defense: 87559, Current HP: 770, A Avg: 1145247, D Avg: 87559, [Maximum Iron Mass(123)[230, 230, 230], Warrior's Shield(249)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 154: HP: 807, STR: 346067, VIT: 737, SPD: 16, LUK: 1, Attack: 430580, Defense: 87525, Current HP: 807, A Avg: 1145342, D Avg: 87525, [Volcano(142)[230, 230, 230], Golem Shield(245)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 153: HP: 627, STR: 345264, VIT: 363, SPD: 16, LUK: 1, Attack: 430598, Defense: 84369, Current HP: 627, A Avg: 1145390, D Avg: 84369, [Impulse(166)[230, 230, 230], Wings of Beast(210)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 152: HP: 608, STR: 345264, VIT: 1046, SPD: 16, LUK: 1, Attack: 430598, Defense: 86716, Current HP: 608, A Avg: 1145390, D Avg: 86716, [Impulse(166)[230, 230, 230], Shield of Thousand(246)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 151: HP: 524, STR: 344976, VIT: 233, SPD: 16, LUK: 1, Attack: 430620, Defense: 84733, Current HP: 524, A Avg: 1145449, D Avg: 84733, [Gladius(162)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 150: HP: 1919, STR: 345920, VIT: 253, SPD: 16, LUK: 1, Attack: 430628, Defense: 86170, Current HP: 1919, A Avg: 1145470, D Avg: 86170, [Thin Blade(158)[230, 230, 230], Frying Pan(231)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 149: HP: 680, STR: 345345, VIT: 363, SPD: 16, LUK: 1, Attack: 430679, Defense: 84863, Current HP: 680, A Avg: 1145606, D Avg: 84863, [Impulse(166)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 148: HP: 323, STR: 345935, VIT: 264, SPD: 16, LUK: 1, Attack: 430723, Defense: 84452, Current HP: 323, A Avg: 1145723, D Avg: 84452, [Pulse Knife(165)[230, 230, 230], Dragon Sword(225)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 147: HP: 1824, STR: 346064, VIT: 304, SPD: 16, LUK: 1, Attack: 430772, Defense: 86221, Current HP: 1824, A Avg: 1145853, D Avg: 86221, [Thin Blade(158)[230, 230, 230], Frying Pan(231)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 146: HP: 513, STR: 346132, VIT: 219, SPD: 16, LUK: 1, Attack: 430788, Defense: 85187, Current HP: 513, A Avg: 1145896, D Avg: 85187, [Penetra(161)[230, 230, 230], Huge Shield(234)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 145: HP: 440, STR: 346150, VIT: 539, SPD: 16, LUK: 1, Attack: 430800, Defense: 87327, Current HP: 440, A Avg: 1145927, D Avg: 87327, [Diamond Knuckle(152)[230, 230, 230], Energy Shield(227)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 144: HP: 627, STR: 345509, VIT: 348, SPD: 16, LUK: 1, Attack: 430843, Defense: 84211, Current HP: 627, A Avg: 1146042, D Avg: 84211, [Impulse(166)[230, 230, 230], Small Sword(218)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 143: HP: 665, STR: 346039, VIT: 368, SPD: 16, LUK: 1, Attack: 430851, Defense: 87169, Current HP: 665, A Avg: 1146063, D Avg: 87169, [Granada(150)[230, 230, 230], Riot(236)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 142: HP: 902, STR: 346139, VIT: 698, SPD: 16, LUK: 1, Attack: 430873, Defense: 87486, Current HP: 902, A Avg: 1146122, D Avg: 87486, [Irruption(154)[230, 230, 230], Golem Shield(245)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 141: HP: 716, STR: 345560, VIT: 371, SPD: 16, LUK: 1, Attack: 430894, Defense: 84377, Current HP: 716, A Avg: 1146178, D Avg: 84377, [Impulse(166)[230, 230, 230], Small Dragon Sword(224)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 140: HP: 636, STR: 345934, VIT: 211, SPD: 16, LUK: 1, Attack: 430902, Defense: 87129, Current HP: 636, A Avg: 1146199, D Avg: 87129, [Cluster Bomb(170)[230, 230, 230], White Hole(230)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 139: HP: 750, STR: 345586, VIT: 363, SPD: 16, LUK: 1, Attack: 430920, Defense: 84252, Current HP: 750, A Avg: 1146247, D Avg: 84252, [Impulse(166)[230, 230, 230], Small Lion(219)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 138: HP: 418, STR: 346276, VIT: 270, SPD: 16, LUK: 1, Attack: 430932, Defense: 85238, Current HP: 418, A Avg: 1146279, D Avg: 85238, [Penetra(161)[230, 230, 230], Huge Shield(234)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 137: HP: 570, STR: 346183, VIT: 419, SPD: 16, LUK: 1, Attack: 430995, Defense: 87220, Current HP: 570, A Avg: 1146446, D Avg: 87220, [Granada(150)[230, 230, 230], Riot(236)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 136: HP: 446, STR: 346210, VIT: 340, SPD: 16, LUK: 1, Attack: 430998, Defense: 85568, Current HP: 446, A Avg: 1146454, D Avg: 85568, [Pulse Knife(165)[230, 230, 230], Wave Motion Sword(226)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 135: HP: 807, STR: 346283, VIT: 749, SPD: 16, LUK: 1, Attack: 431017, Defense: 87537, Current HP: 807, A Avg: 1146505, D Avg: 87537, [Irruption(154)[230, 230, 230], Golem Shield(245)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 134: HP: 1178, STR: 345694, VIT: 862, SPD: 16, LUK: 1, Attack: 431028, Defense: 88430, Current HP: 1178, A Avg: 1146534, D Avg: 88430, [Impulse(166)[230, 230, 230], Storm Wall(242)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 133: HP: 1634, STR: 346201, VIT: 158, SPD: 16, LUK: 1, Attack: 431039, Defense: 86075, Current HP: 1634, A Avg: 1146563, D Avg: 86075, [Willow Blade(157)[230, 230, 230], Frying Pan(231)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 132: HP: 541, STR: 346078, VIT: 259, SPD: 16, LUK: 1, Attack: 431046, Defense: 87177, Current HP: 541, A Avg: 1146582, D Avg: 87177, [Cluster Bomb(170)[230, 230, 230], White Hole(230)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 131: HP: 687, STR: 346003, VIT: 159, SPD: 16, LUK: 1, Attack: 431101, Defense: 84087, Current HP: 687, A Avg: 1146728, D Avg: 84087, [Yggdrasil(126)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 130: HP: 608, STR: 346262, VIT: 448, SPD: 16, LUK: 1, Attack: 431103, Defense: 85442, Current HP: 608, A Avg: 1146733, D Avg: 85442, [Grand Slam(163)[230, 230, 230], Metalization(228)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 129: HP: 874, STR: 346183, VIT: 382, SPD: 16, LUK: 1, Attack: 431106, Defense: 87183, Current HP: 874, A Avg: 1146741, D Avg: 87183, [Pangaea(164)[230, 230, 230], Riot(236)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 128: HP: 1539, STR: 346345, VIT: 209, SPD: 16, LUK: 1, Attack: 431183, Defense: 86126, Current HP: 1539, A Avg: 1146946, D Avg: 86126, [Willow Blade(157)[230, 230, 230], Frying Pan(231)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 127: HP: 437, STR: 345672, VIT: 211, SPD: 16, LUK: 1, Attack: 431212, Defense: 84217, Current HP: 437, A Avg: 1147023, D Avg: 84217, [Zodiac(184)[230, 230, 230], Wings of Beast(210)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 126: HP: 418, STR: 345672, VIT: 894, SPD: 16, LUK: 1, Attack: 431212, Defense: 86564, Current HP: 418, A Avg: 1147023, D Avg: 86564, [Zodiac(184)[230, 230, 230], Shield of Thousand(246)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 125: HP: 592, STR: 346147, VIT: 210, SPD: 16, LUK: 1, Attack: 431245, Defense: 84138, Current HP: 592, A Avg: 1147111, D Avg: 84138, [Yggdrasil(126)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 124: HP: 779, STR: 346327, VIT: 433, SPD: 16, LUK: 1, Attack: 431250, Defense: 87234, Current HP: 779, A Avg: 1147124, D Avg: 87234, [Pangaea(164)[230, 230, 230], Riot(236)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 123: HP: 490, STR: 345754, VIT: 211, SPD: 16, LUK: 1, Attack: 431294, Defense: 84711, Current HP: 490, A Avg: 1147242, D Avg: 84711, [Zodiac(184)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 122: HP: 608, STR: 346021, VIT: 326, SPD: 16, LUK: 1, Attack: 431355, Defense: 84514, Current HP: 608, A Avg: 1147404, D Avg: 84514, [Impulse(166)[230, 230, 230], Dragon Sword(225)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 121: HP: 484, STR: 346114, VIT: 249, SPD: 16, LUK: 1, Attack: 431446, Defense: 84177, Current HP: 484, A Avg: 1147646, D Avg: 84177, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 120: HP: 437, STR: 345917, VIT: 196, SPD: 16, LUK: 1, Attack: 431457, Defense: 84059, Current HP: 437, A Avg: 1147675, D Avg: 84059, [Zodiac(184)[230, 230, 230], Small Sword(218)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 119: HP: 526, STR: 345969, VIT: 219, SPD: 16, LUK: 1, Attack: 431509, Defense: 84225, Current HP: 526, A Avg: 1147813, D Avg: 84225, [Zodiac(184)[230, 230, 230], Small Dragon Sword(224)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 118: HP: 560, STR: 345995, VIT: 211, SPD: 16, LUK: 1, Attack: 431535, Defense: 84100, Current HP: 560, A Avg: 1147883, D Avg: 84100, [Zodiac(184)[230, 230, 230], Small Lion(219)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 117: HP: 440, STR: 347036, VIT: 99, SPD: 16, LUK: 1, Attack: 431614, Defense: 84118, Current HP: 440, A Avg: 1148093, D Avg: 84118, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 116: HP: 731, STR: 346296, VIT: 403, SPD: 16, LUK: 1, Attack: 431630, Defense: 85631, Current HP: 731, A Avg: 1148135, D Avg: 85631, [Impulse(166)[230, 230, 230], Wave Motion Sword(226)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 115: HP: 988, STR: 346102, VIT: 710, SPD: 16, LUK: 1, Attack: 431642, Defense: 88278, Current HP: 988, A Avg: 1148167, D Avg: 88278, [Zodiac(184)[230, 230, 230], Storm Wall(242)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 114: HP: 340, STR: 347180, VIT: 147, SPD: 16, LUK: 1, Attack: 431758, Defense: 84166, Current HP: 340, A Avg: 1148476, D Avg: 84166, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 113: HP: 684, STR: 347795, VIT: 112, SPD: 17, LUK: 1, Attack: 431795, Defense: 86900, Current HP: 684, A Avg: 1148574, D Avg: 86900, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 112: HP: 554, STR: 346060, VIT: 204, SPD: 16, LUK: 1, Attack: 431808, Defense: 85822, Current HP: 554, A Avg: 1148609, D Avg: 85822, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 111: HP: 731, STR: 345916, VIT: 259, SPD: 17, LUK: 1, Attack: 431885, Defense: 86137, Current HP: 731, A Avg: 1148814, D Avg: 86137, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 110: HP: 788, STR: 347813, VIT: 112, SPD: 17, LUK: 1, Attack: 431934, Defense: 86900, Current HP: 788, A Avg: 1148944, D Avg: 86900, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 109: HP: 589, STR: 347939, VIT: 160, SPD: 17, LUK: 1, Attack: 431939, Defense: 86948, Current HP: 589, A Avg: 1148957, D Avg: 86948, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 108: HP: 454, STR: 346204, VIT: 252, SPD: 16, LUK: 1, Attack: 431952, Defense: 85870, Current HP: 454, A Avg: 1148992, D Avg: 85870, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 107: HP: 418, STR: 346429, VIT: 174, SPD: 16, LUK: 1, Attack: 431969, Defense: 84362, Current HP: 418, A Avg: 1149037, D Avg: 84362, [Zodiac(184)[230, 230, 230], Dragon Sword(225)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 106: HP: 1919, STR: 346172, VIT: 270, SPD: 16, LUK: 1, Attack: 432024, Defense: 86187, Current HP: 1919, A Avg: 1149183, D Avg: 86187, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 105: HP: 636, STR: 346060, VIT: 307, SPD: 17, LUK: 1, Attack: 432029, Defense: 86185, Current HP: 636, A Avg: 1149197, D Avg: 86185, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 104: HP: 693, STR: 347957, VIT: 160, SPD: 17, LUK: 1, Attack: 432078, Defense: 86948, Current HP: 693, A Avg: 1149327, D Avg: 86948, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
Rank 103: HP: 1824, STR: 346316, VIT: 321, SPD: 16, LUK: 1, Attack: 432168, Defense: 86238, Current HP: 1824, A Avg: 1149566, D Avg: 86238, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 230], Oculus Ring(315)[67, 803, 807]]
