Rank 38671: 1901 - [10534, 7069, 696] - HP: 61807, STR: 152074, VIT: 26270, SPD: 32, LUK: 2, Attack: 244260, Defense: 116048, Current HP: 61807, A Avg: 262579, D Avg: 116048, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 803]]
Rank 43579: 511 - [12696, 5491, 112] - HP: 1007, STR: 91274, VIT: 154270, SPD: 32, LUK: 2, Attack: 183460, Defense: 244048, Current HP: 1007, A Avg: 192633, D Avg: 244048, [Big Bang[171, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 43587: 1974 - [12834, 5085, 380] - HP: 62377, STR: 128278, VIT: 52038, SPD: 32, LUK: 2, Attack: 220464, Defense: 139606, Current HP: 62377, A Avg: 231487, D Avg: 167527, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 806]]
Rank 43605: 1953 - [12946, 4767, 586] - HP: 95178, STR: 109019, VIT: 52030, SPD: 32, LUK: 1, Attack: 201205, Defense: 139598, Current HP: 95178, A Avg: 251506, D Avg: 139598, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 43609: 517 - [12751, 5356, 192] - HP: 2233, STR: 76846, VIT: 164235, SPD: 32, LUK: 1, Attack: 169032, Defense: 251023, Current HP: 2233, A Avg: 177483, D Avg: 251023, [Big Bang[171, 230, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 43635: 8308 - [13459, 3258, 1582] - HP: 2964, STR: 120682, VIT: 129240, SPD: 38, LUK: 1, Attack: 206495, Defense: 219018, Current HP: 2964, A Avg: 258118, D Avg: 262821, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 68, 806]]
Rank 43644: 8278 - [13461, 3261, 1577] - HP: 2964, STR: 120682, VIT: 129240, SPD: 38, LUK: 1, Attack: 206495, Defense: 219018, Current HP: 2964, A Avg: 260183, D Avg: 262821, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 806]]
Rank 43658: 1943 - [12968, 4754, 577] - HP: 95178, STR: 109019, VIT: 52030, SPD: 32, LUK: 1, Attack: 201205, Defense: 139598, Current HP: 95178, A Avg: 253518, D Avg: 139598, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 43669: 487 - [12850, 5119, 330] - HP: 2233, STR: 153646, VIT: 82635, SPD: 32, LUK: 1, Attack: 245832, Defense: 169423, Current HP: 2233, A Avg: 258123, D Avg: 169423, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 43690: 411 - [12751, 5437, 111] - HP: 31407, STR: 91274, VIT: 128670, SPD: 32, LUK: 2, Attack: 183460, Defense: 218448, Current HP: 31407, A Avg: 192633, D Avg: 218448, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 43701: 385 - [12756, 5433, 110] - HP: 47908, STR: 164719, VIT: 51254, SPD: 32, LUK: 1, Attack: 256905, Defense: 139082, Current HP: 47908, A Avg: 269750, D Avg: 139082, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 43706: 178 - [13312, 3770, 1217] - HP: 124564, STR: 178282, VIT: 52440, SPD: 38, LUK: 1, Attack: 264095, Defense: 142218, Current HP: 124564, A Avg: 277299, D Avg: 142218, [Spear of Regression[182, 130, 130, 130], Blank Shield[244, 130, 230, 230], Black Box[323, 230, 330, 330]]
Rank 43706: 414 - [12743, 5477, 079] - HP: 31977, STR: 96278, VIT: 128838, SPD: 32, LUK: 2, Attack: 188464, Defense: 216406, Current HP: 31977, A Avg: 197887, D Avg: 216406, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 43721: 231 - [12963, 4832, 504] - HP: 92207, STR: 121674, VIT: 51870, SPD: 32, LUK: 2, Attack: 213860, Defense: 141648, Current HP: 92207, A Avg: 224553, D Avg: 141648, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 330]]
Rank 43743: 2998 - [14186, 1185, 2928] - HP: 2964, STR: 235882, VIT: 103640, SPD: 38, LUK: 1, Attack: 321695, Defense: 193418, Current HP: 2964, A Avg: 337779, D Avg: 232101, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 330, 806]]
Rank 43754: 2414 - [12876, 5126, 297] - HP: 31977, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 31977, A Avg: 231487, D Avg: 165206, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 43754: 2464 - [12876, 5126, 297] - HP: 31977, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 31977, A Avg: 231487, D Avg: 165206, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 43761: 221 - [12875, 5136, 288] - HP: 92207, STR: 152074, VIT: 26270, SPD: 32, LUK: 2, Attack: 244260, Defense: 116048, Current HP: 92207, A Avg: 256473, D Avg: 116048, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 43799: 1977 - [13152, 4343, 804] - HP: 95033, STR: 102446, VIT: 55435, SPD: 32, LUK: 1, Attack: 194632, Defense: 142223, Current HP: 95033, A Avg: 204363, D Avg: 170667, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 806]]
Rank 43811: 499 - [12957, 4940, 402] - HP: 817, STR: 129644, VIT: 103134, SPD: 32, LUK: 2, Attack: 219553, Defense: 192912, Current HP: 817, A Avg: 230530, D Avg: 192912, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 43814: 496 - [12957, 4943, 399] - HP: 2415, STR: 128046, VIT: 102728, SPD: 32, LUK: 1, Attack: 220232, Defense: 190153, Current HP: 2415, A Avg: 231243, D Avg: 190153, [Big Bang[171, 230, 230, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 43830: 2954 - [12957, 4959, 383] - HP: 1577, STR: 128278, VIT: 103238, SPD: 32, LUK: 2, Attack: 220464, Defense: 190806, Current HP: 1577, A Avg: 231487, D Avg: 190806, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 43830: 2994 - [12957, 4959, 383] - HP: 1577, STR: 128278, VIT: 103238, SPD: 32, LUK: 2, Attack: 220464, Defense: 190806, Current HP: 1577, A Avg: 231487, D Avg: 228967, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 43830: 3004 - [12957, 4959, 383] - HP: 1577, STR: 128278, VIT: 103238, SPD: 32, LUK: 2, Attack: 220464, Defense: 190806, Current HP: 1577, A Avg: 231487, D Avg: 190806, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 43842: 2444 - [12890, 5172, 237] - HP: 31977, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 31977, A Avg: 236998, D Avg: 165206, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 43856: 383 - [12834, 5354, 111] - HP: 48778, STR: 163419, VIT: 52030, SPD: 32, LUK: 1, Attack: 255605, Defense: 139598, Current HP: 48778, A Avg: 268385, D Avg: 139598, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 43876: 8348 - [13591, 3103, 1605] - HP: 2964, STR: 120682, VIT: 129240, SPD: 38, LUK: 1, Attack: 206495, Defense: 219018, Current HP: 2964, A Avg: 216819, D Avg: 306625, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 806, 807]]
Rank 43883: 417 - [12873, 5264, 162] - HP: 48633, STR: 76846, VIT: 137035, SPD: 32, LUK: 1, Attack: 169032, Defense: 223823, Current HP: 48633, A Avg: 177483, D Avg: 223823, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 43893: 2984 - [12957, 5022, 320] - HP: 1577, STR: 128278, VIT: 103238, SPD: 32, LUK: 2, Attack: 220464, Defense: 190806, Current HP: 1577, A Avg: 236998, D Avg: 190806, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 43909: 1915 - [13040, 4789, 470] - HP: 94308, STR: 137519, VIT: 25654, SPD: 32, LUK: 1, Attack: 229705, Defense: 113482, Current HP: 94308, A Avg: 241190, D Avg: 136178, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 43923: 399 - [12967, 5022, 310] - HP: 31217, STR: 129644, VIT: 77534, SPD: 32, LUK: 2, Attack: 219553, Defense: 167312, Current HP: 31217, A Avg: 230530, D Avg: 167312, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 43941: 327 - [12978, 5007, 314] - HP: 95033, STR: 76846, VIT: 109835, SPD: 32, LUK: 1, Attack: 169032, Defense: 196623, Current HP: 95033, A Avg: 177483, D Avg: 196623, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 44018: 164 - [13197, 4427, 675] - HP: 123177, STR: 128278, VIT: 26438, SPD: 32, LUK: 2, Attack: 220464, Defense: 114006, Current HP: 123177, A Avg: 231487, D Avg: 114006, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 44019: 162 - [13727, 2838, 1734] - HP: 186818, STR: 104028, VIT: 26326, SPD: 32, LUK: 1, Attack: 193937, Defense: 116104, Current HP: 186818, A Avg: 203633, D Avg: 116104, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44027: 318 - [13936, 2219, 2144] - HP: 63764, STR: 235882, VIT: 78040, SPD: 38, LUK: 1, Attack: 321695, Defense: 167818, Current HP: 63764, A Avg: 337779, D Avg: 167818, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 230, 230], Black Box[323, 330, 330, 330]]
Rank 44032: 492 - [13050, 4882, 367] - HP: 1218, STR: 129628, VIT: 103126, SPD: 32, LUK: 1, Attack: 219537, Defense: 192904, Current HP: 1218, A Avg: 230513, D Avg: 192904, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 44042: 166 - [13750, 2792, 1757] - HP: 194415, STR: 102446, VIT: 25928, SPD: 32, LUK: 1, Attack: 194632, Defense: 113353, Current HP: 194415, A Avg: 204363, D Avg: 113353, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 130, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44077: 167 - [13731, 2884, 1684] - HP: 187833, STR: 102446, VIT: 28235, SPD: 32, LUK: 1, Attack: 194632, Defense: 115023, Current HP: 187833, A Avg: 204363, D Avg: 115023, [Big Bang[171, 130, 130, 130], Golem Shield[245, 130, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44095: 1913 - [13139, 4678, 482] - HP: 95178, STR: 136219, VIT: 26430, SPD: 32, LUK: 1, Attack: 228405, Defense: 113998, Current HP: 95178, A Avg: 239825, D Avg: 136797, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 44101: 157 - [13729, 2914, 1656] - HP: 187833, STR: 128046, VIT: 1035, SPD: 32, LUK: 1, Attack: 220232, Defense: 87823, Current HP: 187833, A Avg: 231243, D Avg: 87823, [Big Bang[171, 130, 130, 130], Golem Shield[245, 130, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 44116: 243 - [13220, 4456, 623] - HP: 141578, STR: 81819, VIT: 77630, SPD: 32, LUK: 1, Attack: 174005, Defense: 165198, Current HP: 141578, A Avg: 182705, D Avg: 165198, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 44121: 1495 - [13551, 3468, 1280] - HP: 140708, STR: 137519, VIT: 54, SPD: 32, LUK: 1, Attack: 229705, Defense: 87882, Current HP: 140708, A Avg: 241190, D Avg: 105458, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 44121: 1555 - [13590, 3351, 1358] - HP: 140708, STR: 110319, VIT: 25654, SPD: 32, LUK: 1, Attack: 202505, Defense: 113482, Current HP: 140708, A Avg: 212630, D Avg: 136178, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 44127: 212 - [13206, 4509, 584] - HP: 140418, STR: 155228, VIT: 726, SPD: 32, LUK: 1, Attack: 245137, Defense: 90504, Current HP: 140418, A Avg: 257393, D Avg: 90504, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 44139: 245 - [13225, 4464, 610] - HP: 140708, STR: 83119, VIT: 76854, SPD: 32, LUK: 1, Attack: 175305, Defense: 164682, Current HP: 140708, A Avg: 184070, D Avg: 164682, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 44199: 490 - [13126, 4821, 352] - HP: 1508, STR: 128046, VIT: 103062, SPD: 32, LUK: 1, Attack: 220232, Defense: 192840, Current HP: 1508, A Avg: 231243, D Avg: 192840, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 44202: 297 - [13058, 5028, 213] - HP: 95033, STR: 153646, VIT: 28235, SPD: 32, LUK: 1, Attack: 245832, Defense: 115023, Current HP: 95033, A Avg: 258123, D Avg: 115023, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44216: 210 - [13235, 4511, 553] - HP: 140708, STR: 153646, VIT: 662, SPD: 32, LUK: 1, Attack: 245832, Defense: 90440, Current HP: 140708, A Avg: 258123, D Avg: 90440, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 44216: 413 - [13023, 5147, 129] - HP: 48778, STR: 81819, VIT: 128830, SPD: 32, LUK: 1, Attack: 174005, Defense: 216398, Current HP: 48778, A Avg: 182705, D Avg: 216398, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 44218: 296 - [13071, 5005, 223] - HP: 98415, STR: 153646, VIT: 25928, SPD: 32, LUK: 1, Attack: 245832, Defense: 113353, Current HP: 98415, A Avg: 258123, D Avg: 113353, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44220: 415 - [13024, 5148, 127] - HP: 47908, STR: 83119, VIT: 128054, SPD: 32, LUK: 1, Attack: 175305, Defense: 215882, Current HP: 47908, A Avg: 184070, D Avg: 215882, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 44224: 292 - [13078, 4990, 231] - HP: 94018, STR: 155228, VIT: 26326, SPD: 32, LUK: 1, Attack: 245137, Defense: 116104, Current HP: 94018, A Avg: 257393, D Avg: 116104, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44245: 2974 - [13064, 5053, 182] - HP: 1577, STR: 128278, VIT: 103238, SPD: 32, LUK: 2, Attack: 220464, Defense: 190806, Current HP: 1577, A Avg: 275580, D Avg: 190806, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 44246: 2964 - [13064, 5054, 181] - HP: 1577, STR: 128278, VIT: 103238, SPD: 32, LUK: 2, Attack: 220464, Defense: 190806, Current HP: 1577, A Avg: 277784, D Avg: 190806, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 44280: 216 - [13290, 4410, 599] - HP: 146415, STR: 153646, VIT: 328, SPD: 32, LUK: 1, Attack: 245832, Defense: 87753, Current HP: 146415, A Avg: 258123, D Avg: 87753, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 44285: 160 - [13815, 2840, 1644] - HP: 187108, STR: 102446, VIT: 26262, SPD: 32, LUK: 1, Attack: 194632, Defense: 116040, Current HP: 187108, A Avg: 204363, D Avg: 116040, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44301: 1553 - [13697, 3210, 1392] - HP: 141578, STR: 109019, VIT: 26430, SPD: 32, LUK: 1, Attack: 201205, Defense: 113998, Current HP: 141578, A Avg: 211265, D Avg: 136797, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 44309: 290 - [13110, 4979, 210] - HP: 94308, STR: 153646, VIT: 26262, SPD: 32, LUK: 1, Attack: 245832, Defense: 116040, Current HP: 94308, A Avg: 258123, D Avg: 116040, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44344: 2098 - [13425, 4069, 805] - HP: 63764, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 63764, A Avg: 216819, D Avg: 232101, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 330, 806]]
Rank 44346: 325 - [13160, 4866, 273] - HP: 94308, STR: 83119, VIT: 102454, SPD: 32, LUK: 1, Attack: 175305, Defense: 190282, Current HP: 94308, A Avg: 184070, D Avg: 190282, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 44349: 493 - [13139, 4932, 228] - HP: 2378, STR: 136219, VIT: 103230, SPD: 32, LUK: 1, Attack: 228405, Defense: 190798, Current HP: 2378, A Avg: 239825, D Avg: 190798, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 44355: 2434 - [13095, 5070, 134] - HP: 31977, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 31977, A Avg: 275580, D Avg: 165206, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 44356: 2424 - [13095, 5071, 133] - HP: 31977, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 31977, A Avg: 277784, D Avg: 165206, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 44361: 1493 - [13681, 3318, 1300] - HP: 141578, STR: 136219, VIT: 830, SPD: 32, LUK: 1, Attack: 228405, Defense: 88398, Current HP: 141578, A Avg: 239825, D Avg: 106077, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 44375: 323 - [13182, 4829, 288] - HP: 95178, STR: 81819, VIT: 103230, SPD: 32, LUK: 1, Attack: 174005, Defense: 190798, Current HP: 95178, A Avg: 182705, D Avg: 190798, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 44390: 495 - [13155, 4925, 219] - HP: 1508, STR: 137519, VIT: 102454, SPD: 32, LUK: 1, Attack: 229705, Defense: 190282, Current HP: 1508, A Avg: 241190, D Avg: 190282, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 44412: 1975 - [13349, 4365, 585] - HP: 94308, STR: 110319, VIT: 51254, SPD: 32, LUK: 1, Attack: 202505, Defense: 139082, Current HP: 94308, A Avg: 212630, D Avg: 166898, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 806]]
Rank 44421: 509 - [13187, 4860, 252] - HP: 817, STR: 104044, VIT: 128734, SPD: 32, LUK: 2, Attack: 193953, Defense: 218512, Current HP: 817, A Avg: 203650, D Avg: 218512, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 44428: 506 - [13187, 4867, 245] - HP: 2415, STR: 102446, VIT: 128328, SPD: 32, LUK: 1, Attack: 194632, Defense: 215753, Current HP: 2415, A Avg: 204363, D Avg: 215753, [Big Bang[171, 230, 230, 230], Cloud Shield[241, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 44498: 224 - [13173, 4979, 147] - HP: 92777, STR: 160278, VIT: 26438, SPD: 32, LUK: 2, Attack: 252464, Defense: 114006, Current HP: 92777, A Avg: 265087, D Avg: 114006, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 44517: 2038 - [13932, 2721, 1646] - HP: 63764, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 63764, A Avg: 277299, D Avg: 201381, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 230, 330], Black Box[323, 330, 330, 806]]
Rank 44520: 2454 - [13221, 4857, 221] - HP: 31977, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 31977, A Avg: 231487, D Avg: 198247, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 44522: 409 - [13239, 4805, 255] - HP: 31217, STR: 104044, VIT: 103134, SPD: 32, LUK: 2, Attack: 193953, Defense: 192912, Current HP: 31217, A Avg: 203650, D Avg: 192912, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 44534: 152 - [13920, 2774, 1605] - HP: 186818, STR: 129628, VIT: 726, SPD: 32, LUK: 1, Attack: 219537, Defense: 90504, Current HP: 186818, A Avg: 230513, D Avg: 90504, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 44591: 502 - [13261, 4808, 230] - HP: 1218, STR: 104028, VIT: 128726, SPD: 32, LUK: 1, Attack: 193937, Defense: 218504, Current HP: 1218, A Avg: 203633, D Avg: 218504, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 44595: 1973 - [13445, 4260, 594] - HP: 95178, STR: 109019, VIT: 52030, SPD: 32, LUK: 1, Attack: 201205, Defense: 139598, Current HP: 95178, A Avg: 211265, D Avg: 167517, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 806]]
Rank 44709: 156 - [14026, 2631, 1642] - HP: 194415, STR: 128046, VIT: 328, SPD: 32, LUK: 1, Attack: 220232, Defense: 87753, Current HP: 194415, A Avg: 231243, D Avg: 87753, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 130, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 44721: 500 - [13320, 4761, 218] - HP: 1508, STR: 102446, VIT: 128662, SPD: 32, LUK: 1, Attack: 194632, Defense: 218440, Current HP: 1508, A Avg: 204363, D Avg: 218440, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 44742: 150 - [13992, 2766, 1541] - HP: 187108, STR: 128046, VIT: 662, SPD: 32, LUK: 1, Attack: 220232, Defense: 90440, Current HP: 187108, A Avg: 231243, D Avg: 90440, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 44830: 295 - [13323, 4861, 115] - HP: 94308, STR: 164719, VIT: 25654, SPD: 32, LUK: 1, Attack: 256905, Defense: 113482, Current HP: 94308, A Avg: 269750, D Avg: 113482, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44936: 293 - [13375, 4811, 113] - HP: 95178, STR: 163419, VIT: 26430, SPD: 32, LUK: 1, Attack: 255605, Defense: 113998, Current HP: 95178, A Avg: 268385, D Avg: 113998, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 230, 330]]
Rank 44950: 311 - [13405, 4735, 159] - HP: 61807, STR: 121674, VIT: 77470, SPD: 32, LUK: 2, Attack: 213860, Defense: 167248, Current HP: 61807, A Avg: 224553, D Avg: 167248, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 44992: 503 - [13427, 4711, 161] - HP: 2378, STR: 109019, VIT: 128830, SPD: 32, LUK: 1, Attack: 201205, Defense: 216398, Current HP: 2378, A Avg: 211265, D Avg: 216398, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 45010: 505 - [13432, 4714, 153] - HP: 1508, STR: 110319, VIT: 128054, SPD: 32, LUK: 1, Attack: 202505, Defense: 215882, Current HP: 1508, A Avg: 212630, D Avg: 215882, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 45043: 215 - [13580, 4303, 416] - HP: 140708, STR: 164719, VIT: 54, SPD: 32, LUK: 1, Attack: 256905, Defense: 87882, Current HP: 140708, A Avg: 269750, D Avg: 87882, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 45057: 301 - [13456, 4689, 154] - HP: 61807, STR: 152074, VIT: 51870, SPD: 32, LUK: 2, Attack: 244260, Defense: 141648, Current HP: 61807, A Avg: 256473, D Avg: 141648, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 330]]
Rank 45076: 2538 - [13929, 3289, 1081] - HP: 33364, STR: 120682, VIT: 129240, SPD: 38, LUK: 1, Attack: 206495, Defense: 219018, Current HP: 33364, A Avg: 216819, D Avg: 219018, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 330, 66]]
