Rank 38334: 3078 - [10172, 7818, 309] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 149739, D Avg: 243944, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 42191: 2019 - [12208, 5567, 524] - HP: 94743, STR: 83347, VIT: 77566, SPD: 24, LUK: 1, Attack: 173256, Defense: 165134, Current HP: 94743, A Avg: 216570, D Avg: 165134, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 42191: 2484 - [12034, 6089, 176] - HP: 47763, STR: 82813, VIT: 102446, SPD: 24, LUK: 1, Attack: 174999, Defense: 190274, Current HP: 47763, A Avg: 220498, D Avg: 190274, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 42196: 2417 - [12139, 5779, 381] - HP: 48488, STR: 102438, VIT: 82414, SPD: 24, LUK: 1, Attack: 194624, Defense: 169202, Current HP: 48488, A Avg: 204355, D Avg: 169202, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 42196: 2467 - [12139, 5779, 381] - HP: 48488, STR: 102438, VIT: 82414, SPD: 24, LUK: 1, Attack: 194624, Defense: 169202, Current HP: 48488, A Avg: 204355, D Avg: 169202, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 42201: 2009 - [12213, 5562, 524] - HP: 94743, STR: 83347, VIT: 77566, SPD: 24, LUK: 1, Attack: 173256, Defense: 165134, Current HP: 94743, A Avg: 218302, D Avg: 165134, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 42202: 1943 - [12099, 5905, 295] - HP: 62282, STR: 128268, VIT: 51910, SPD: 24, LUK: 2, Attack: 220454, Defense: 139478, Current HP: 62282, A Avg: 277772, D Avg: 139478, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 67]]
Rank 42203: 2425 - [12110, 5873, 316] - HP: 50040, STR: 102438, VIT: 77048, SPD: 24, LUK: 1, Attack: 194624, Defense: 164473, Current HP: 50040, A Avg: 245226, D Avg: 164473, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 42212: 2497 - [12030, 6122, 147] - HP: 48488, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 48488, A Avg: 211280, D Avg: 196402, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 42218: 2487 - [12033, 6119, 147] - HP: 48488, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 48488, A Avg: 212970, D Avg: 196402, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 42229: 1490 - [12762, 3943, 1594] - HP: 140563, STR: 128038, VIT: 494, SPD: 24, LUK: 1, Attack: 220224, Defense: 90272, Current HP: 140563, A Avg: 231235, D Avg: 108326, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 42229: 2499 - [12055, 6064, 180] - HP: 48343, STR: 83347, VIT: 103166, SPD: 24, LUK: 1, Attack: 173256, Defense: 190734, Current HP: 48343, A Avg: 216570, D Avg: 190734, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 42233: 1915 - [12336, 5225, 738] - HP: 98040, STR: 128038, VIT: 25848, SPD: 24, LUK: 1, Attack: 220224, Defense: 113273, Current HP: 98040, A Avg: 231235, D Avg: 135927, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 42238: 2489 - [12059, 6061, 179] - HP: 48343, STR: 83347, VIT: 103166, SPD: 24, LUK: 1, Attack: 173256, Defense: 190734, Current HP: 48343, A Avg: 218302, D Avg: 190734, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 42248: 2482 - [12063, 6059, 177] - HP: 48633, STR: 81810, VIT: 103102, SPD: 24, LUK: 1, Attack: 173996, Defense: 190670, Current HP: 48633, A Avg: 219234, D Avg: 190670, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 42248: 2492 - [12063, 6059, 177] - HP: 48633, STR: 81810, VIT: 103102, SPD: 24, LUK: 1, Attack: 173996, Defense: 190670, Current HP: 48633, A Avg: 217495, D Avg: 190670, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 42258: 2414 - [12151, 5805, 343] - HP: 47763, STR: 110013, VIT: 76846, SPD: 24, LUK: 1, Attack: 202199, Defense: 164674, Current HP: 47763, A Avg: 212308, D Avg: 164674, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 42258: 2464 - [12151, 5805, 343] - HP: 47763, STR: 110013, VIT: 76846, SPD: 24, LUK: 1, Attack: 202199, Defense: 164674, Current HP: 47763, A Avg: 212308, D Avg: 164674, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 42263: 102 - [13461, 1880, 2958] - HP: 234233, STR: 109010, VIT: 702, SPD: 24, LUK: 1, Attack: 201196, Defense: 88270, Current HP: 234233, A Avg: 211255, D Avg: 88270, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 130, 230], Gold Ring[303, 230, 230, 230]]
Rank 42264: 2012 - [12237, 5553, 509] - HP: 95033, STR: 81810, VIT: 77502, SPD: 24, LUK: 1, Attack: 173996, Defense: 165070, Current HP: 95033, A Avg: 217495, D Avg: 165070, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 42265: 2002 - [12237, 5554, 508] - HP: 95033, STR: 81810, VIT: 77502, SPD: 24, LUK: 1, Attack: 173996, Defense: 165070, Current HP: 95033, A Avg: 219234, D Avg: 165070, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 42266: 385 - [12101, 5963, 235] - HP: 50040, STR: 153638, VIT: 51448, SPD: 24, LUK: 1, Attack: 245824, Defense: 138873, Current HP: 50040, A Avg: 258115, D Avg: 138873, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 42268: 1524 - [12640, 4348, 1311] - HP: 140563, STR: 110013, VIT: 25646, SPD: 24, LUK: 1, Attack: 202199, Defense: 113474, Current HP: 140563, A Avg: 254770, D Avg: 113474, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 42280: 2419 - [12169, 5773, 357] - HP: 48343, STR: 110547, VIT: 77566, SPD: 24, LUK: 1, Attack: 200456, Defense: 165134, Current HP: 48343, A Avg: 210478, D Avg: 165134, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 42280: 2469 - [12169, 5773, 357] - HP: 48343, STR: 110547, VIT: 77566, SPD: 24, LUK: 1, Attack: 200456, Defense: 165134, Current HP: 48343, A Avg: 210478, D Avg: 165134, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 42282: 1955 - [12343, 5253, 703] - HP: 98040, STR: 102438, VIT: 51448, SPD: 24, LUK: 1, Attack: 194624, Defense: 138873, Current HP: 98040, A Avg: 243280, D Avg: 138873, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 42293: 1916 - [12354, 5231, 714] - HP: 93873, STR: 129484, VIT: 26158, SPD: 24, LUK: 1, Attack: 219393, Defense: 115936, Current HP: 93873, A Avg: 230362, D Avg: 139123, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 42293: 2412 - [12173, 5774, 352] - HP: 48633, STR: 109010, VIT: 77502, SPD: 24, LUK: 1, Attack: 201196, Defense: 165070, Current HP: 48633, A Avg: 211255, D Avg: 165070, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 42293: 2462 - [12173, 5774, 352] - HP: 48633, STR: 109010, VIT: 77502, SPD: 24, LUK: 1, Attack: 201196, Defense: 165070, Current HP: 48633, A Avg: 211255, D Avg: 165070, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 42307: 2436 - [12158, 5833, 308] - HP: 47473, STR: 103884, VIT: 77358, SPD: 24, LUK: 1, Attack: 193793, Defense: 167136, Current HP: 47473, A Avg: 242241, D Avg: 167136, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 42311: 1939 - [12294, 5429, 576] - HP: 94743, STR: 110547, VIT: 51966, SPD: 24, LUK: 1, Attack: 200456, Defense: 139534, Current HP: 94743, A Avg: 210478, D Avg: 139534, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 42311: 1989 - [12294, 5429, 576] - HP: 94743, STR: 110547, VIT: 51966, SPD: 24, LUK: 1, Attack: 200456, Defense: 139534, Current HP: 94743, A Avg: 210478, D Avg: 139534, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 42311: 2449 - [12179, 5774, 346] - HP: 48343, STR: 110547, VIT: 77566, SPD: 24, LUK: 1, Attack: 200456, Defense: 165134, Current HP: 48343, A Avg: 215490, D Avg: 165134, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 42316: 1945 - [12359, 5239, 701] - HP: 98040, STR: 102438, VIT: 51448, SPD: 24, LUK: 1, Attack: 194624, Defense: 138873, Current HP: 98040, A Avg: 245226, D Avg: 138873, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 42326: 2426 - [12165, 5831, 303] - HP: 47473, STR: 103884, VIT: 77358, SPD: 24, LUK: 1, Attack: 193793, Defense: 167136, Current HP: 47473, A Avg: 244179, D Avg: 167136, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 42328: 2030 - [12339, 5311, 649] - HP: 94163, STR: 76838, VIT: 77294, SPD: 24, LUK: 1, Attack: 169024, Defense: 167072, Current HP: 94163, A Avg: 177475, D Avg: 200486, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 806]]
Rank 42328: 2447 - [12184, 5776, 339] - HP: 48488, STR: 102438, VIT: 82414, SPD: 24, LUK: 1, Attack: 194624, Defense: 169202, Current HP: 48488, A Avg: 209220, D Avg: 169202, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 42329: 328 - [12150, 5879, 270] - HP: 61522, STR: 78300, VIT: 102966, SPD: 24, LUK: 2, Attack: 168209, Defense: 192744, Current HP: 61522, A Avg: 176619, D Avg: 192744, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 42333: 386 - [12131, 5940, 228] - HP: 47473, STR: 155084, VIT: 51758, SPD: 24, LUK: 1, Attack: 244993, Defense: 141536, Current HP: 47473, A Avg: 257242, D Avg: 141536, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 42340: 1964 - [12298, 5446, 555] - HP: 94163, STR: 110013, VIT: 51246, SPD: 24, LUK: 1, Attack: 202199, Defense: 139074, Current HP: 94163, A Avg: 217363, D Avg: 139074, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 42345: 2514 - [12140, 5925, 234] - HP: 47763, STR: 82813, VIT: 102446, SPD: 24, LUK: 1, Attack: 174999, Defense: 190274, Current HP: 47763, A Avg: 183748, D Avg: 228328, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 42352: 2430 - [12174, 5830, 295] - HP: 47763, STR: 102438, VIT: 77294, SPD: 24, LUK: 1, Attack: 194624, Defense: 167072, Current HP: 47763, A Avg: 243280, D Avg: 167072, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 42354: 2444 - [12182, 5808, 309] - HP: 47763, STR: 110013, VIT: 76846, SPD: 24, LUK: 1, Attack: 202199, Defense: 164674, Current HP: 47763, A Avg: 217363, D Avg: 164674, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 42355: 104 - [13483, 1906, 2910] - HP: 233363, STR: 110013, VIT: 46, SPD: 24, LUK: 1, Attack: 202199, Defense: 87874, Current HP: 233363, A Avg: 212308, D Avg: 87874, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 130, 130, 230], Gold Ring[303, 230, 230, 230]]
Rank 42355: 2442 - [12193, 5776, 330] - HP: 48633, STR: 109010, VIT: 77502, SPD: 24, LUK: 1, Attack: 201196, Defense: 165070, Current HP: 48633, A Avg: 216285, D Avg: 165070, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 42363: 1932 - [12313, 5424, 562] - HP: 95033, STR: 109010, VIT: 51902, SPD: 24, LUK: 1, Attack: 201196, Defense: 139470, Current HP: 95033, A Avg: 211255, D Avg: 139470, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 42363: 1982 - [12313, 5424, 562] - HP: 95033, STR: 109010, VIT: 51902, SPD: 24, LUK: 1, Attack: 201196, Defense: 139470, Current HP: 95033, A Avg: 211255, D Avg: 139470, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 42364: 487 - [12243, 5635, 421] - HP: 2088, STR: 153638, VIT: 82414, SPD: 24, LUK: 1, Attack: 245824, Defense: 169202, Current HP: 2088, A Avg: 258115, D Avg: 169202, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 42365: 2420 - [12179, 5828, 292] - HP: 47763, STR: 102438, VIT: 77294, SPD: 24, LUK: 1, Attack: 194624, Defense: 167072, Current HP: 47763, A Avg: 245226, D Avg: 167072, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 42368: 380 - [12146, 5930, 223] - HP: 47763, STR: 153638, VIT: 51694, SPD: 24, LUK: 1, Attack: 245824, Defense: 141472, Current HP: 47763, A Avg: 258115, D Avg: 141472, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 42377: 1956 - [12373, 5258, 668] - HP: 93873, STR: 103884, VIT: 51758, SPD: 24, LUK: 1, Attack: 193793, Defense: 141536, Current HP: 93873, A Avg: 242241, D Avg: 141536, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 42391: 1969 - [12326, 5413, 560] - HP: 94743, STR: 110547, VIT: 51966, SPD: 24, LUK: 1, Attack: 200456, Defense: 139534, Current HP: 94743, A Avg: 215490, D Avg: 139534, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 42423: 1946 - [12394, 5241, 664] - HP: 93873, STR: 103884, VIT: 51758, SPD: 24, LUK: 1, Attack: 193793, Defense: 141536, Current HP: 93873, A Avg: 244179, D Avg: 141536, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 42438: 241 - [12287, 5577, 435] - HP: 92112, STR: 91264, VIT: 77302, SPD: 24, LUK: 2, Attack: 183450, Defense: 167080, Current HP: 92112, A Avg: 192622, D Avg: 167080, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 42453: 217 - [12381, 5310, 608] - HP: 141288, STR: 153638, VIT: 814, SPD: 24, LUK: 1, Attack: 245824, Defense: 87602, Current HP: 141288, A Avg: 258115, D Avg: 87602, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 42458: 243 - [12285, 5603, 411] - HP: 92682, STR: 96268, VIT: 77510, SPD: 24, LUK: 2, Attack: 188454, Defense: 165078, Current HP: 92682, A Avg: 197876, D Avg: 165078, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 42462: 1910 - [12420, 5202, 677] - HP: 94163, STR: 128038, VIT: 26094, SPD: 24, LUK: 1, Attack: 220224, Defense: 115872, Current HP: 94163, A Avg: 231235, D Avg: 139046, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 42482: 387 - [12198, 5888, 213] - HP: 48488, STR: 153638, VIT: 55214, SPD: 24, LUK: 1, Attack: 245824, Defense: 142002, Current HP: 48488, A Avg: 258115, D Avg: 142002, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 42495: 1555 - [12983, 3546, 1770] - HP: 146040, STR: 102438, VIT: 25848, SPD: 24, LUK: 1, Attack: 194624, Defense: 113273, Current HP: 146040, A Avg: 204355, D Avg: 135927, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 42495: 1962 - [12372, 5379, 548] - HP: 95033, STR: 109010, VIT: 51902, SPD: 24, LUK: 1, Attack: 201196, Defense: 139470, Current HP: 95033, A Avg: 216285, D Avg: 139470, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 42500: 1950 - [12423, 5231, 645] - HP: 94163, STR: 102438, VIT: 51694, SPD: 24, LUK: 1, Attack: 194624, Defense: 141472, Current HP: 94163, A Avg: 243280, D Avg: 141472, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 42510: 2517 - [12200, 5910, 189] - HP: 48488, STR: 76838, VIT: 109614, SPD: 24, LUK: 1, Attack: 169024, Defense: 196402, Current HP: 48488, A Avg: 177475, D Avg: 235682, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 42528: 1940 - [12436, 5220, 643] - HP: 94163, STR: 102438, VIT: 51694, SPD: 24, LUK: 1, Attack: 194624, Defense: 141472, Current HP: 94163, A Avg: 245226, D Avg: 141472, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 42529: 2957 - [12354, 5467, 478] - HP: 2088, STR: 102438, VIT: 109614, SPD: 24, LUK: 1, Attack: 194624, Defense: 196402, Current HP: 2088, A Avg: 204355, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 42529: 2997 - [12354, 5467, 478] - HP: 2088, STR: 102438, VIT: 109614, SPD: 24, LUK: 1, Attack: 194624, Defense: 196402, Current HP: 2088, A Avg: 204355, D Avg: 235682, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 42529: 3007 - [12354, 5467, 478] - HP: 2088, STR: 102438, VIT: 109614, SPD: 24, LUK: 1, Attack: 194624, Defense: 196402, Current HP: 2088, A Avg: 204355, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 42564: 2519 - [12241, 5841, 217] - HP: 48343, STR: 83347, VIT: 103166, SPD: 24, LUK: 1, Attack: 173256, Defense: 190734, Current HP: 48343, A Avg: 181918, D Avg: 228880, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 42570: 1557 - [12985, 3615, 1699] - HP: 141288, STR: 102438, VIT: 28014, SPD: 24, LUK: 1, Attack: 194624, Defense: 114802, Current HP: 141288, A Avg: 204355, D Avg: 137762, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 42583: 2455 - [12329, 5596, 374] - HP: 50040, STR: 102438, VIT: 77048, SPD: 24, LUK: 1, Attack: 194624, Defense: 164473, Current HP: 50040, A Avg: 204355, D Avg: 197367, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 806]]
Rank 42584: 2987 - [12354, 5522, 423] - HP: 2088, STR: 102438, VIT: 109614, SPD: 24, LUK: 1, Attack: 194624, Defense: 196402, Current HP: 2088, A Avg: 209220, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 42591: 2512 - [12252, 5835, 212] - HP: 48633, STR: 81810, VIT: 103102, SPD: 24, LUK: 1, Attack: 173996, Defense: 190670, Current HP: 48633, A Avg: 182695, D Avg: 228804, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 42627: 1957 - [12484, 5175, 640] - HP: 94888, STR: 102438, VIT: 55214, SPD: 24, LUK: 1, Attack: 194624, Defense: 142002, Current HP: 94888, A Avg: 243280, D Avg: 142002, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 42631: 1556 - [13015, 3586, 1698] - HP: 140273, STR: 103884, VIT: 26158, SPD: 24, LUK: 1, Attack: 193793, Defense: 115936, Current HP: 140273, A Avg: 203482, D Avg: 139123, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 806]]
Rank 42643: 384 - [12231, 5950, 118] - HP: 47763, STR: 164413, VIT: 51246, SPD: 24, LUK: 1, Attack: 256599, Defense: 139074, Current HP: 47763, A Avg: 269428, D Avg: 139074, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 42650: 1947 - [12495, 5165, 639] - HP: 94888, STR: 102438, VIT: 55214, SPD: 24, LUK: 1, Attack: 194624, Defense: 142002, Current HP: 94888, A Avg: 245226, D Avg: 142002, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 42715: 389 - [12268, 5911, 120] - HP: 48343, STR: 164947, VIT: 51966, SPD: 24, LUK: 1, Attack: 254856, Defense: 139534, Current HP: 48343, A Avg: 267598, D Avg: 139534, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 42719: 2456 - [12396, 5531, 372] - HP: 47473, STR: 103884, VIT: 77358, SPD: 24, LUK: 1, Attack: 193793, Defense: 167136, Current HP: 47473, A Avg: 203482, D Avg: 200563, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 806]]
Rank 42734: 2439 - [12330, 5744, 225] - HP: 48343, STR: 110547, VIT: 77566, SPD: 24, LUK: 1, Attack: 200456, Defense: 165134, Current HP: 48343, A Avg: 250570, D Avg: 165134, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 42739: 382 - [12279, 5902, 118] - HP: 48633, STR: 163410, VIT: 51902, SPD: 24, LUK: 1, Attack: 255596, Defense: 139470, Current HP: 48633, A Avg: 268375, D Avg: 139470, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 42741: 2434 - [12317, 5790, 192] - HP: 47763, STR: 110013, VIT: 76846, SPD: 24, LUK: 1, Attack: 202199, Defense: 164674, Current HP: 47763, A Avg: 252748, D Avg: 164674, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 42744: 2977 - [12354, 5682, 263] - HP: 2088, STR: 102438, VIT: 109614, SPD: 24, LUK: 1, Attack: 194624, Defense: 196402, Current HP: 2088, A Avg: 243280, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 42749: 2967 - [12354, 5687, 258] - HP: 2088, STR: 102438, VIT: 109614, SPD: 24, LUK: 1, Attack: 194624, Defense: 196402, Current HP: 2088, A Avg: 245226, D Avg: 196402, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 42776: 2432 - [12345, 5741, 213] - HP: 48633, STR: 109010, VIT: 77502, SPD: 24, LUK: 1, Attack: 201196, Defense: 165070, Current HP: 48633, A Avg: 251495, D Avg: 165070, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 42785: 2429 - [12347, 5744, 208] - HP: 48343, STR: 110547, VIT: 77566, SPD: 24, LUK: 1, Attack: 200456, Defense: 165134, Current HP: 48343, A Avg: 252574, D Avg: 165134, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 42803: 2424 - [12341, 5780, 178] - HP: 47763, STR: 110013, VIT: 76846, SPD: 24, LUK: 1, Attack: 202199, Defense: 164674, Current HP: 47763, A Avg: 254770, D Avg: 164674, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 42820: 2422 - [12357, 5749, 193] - HP: 48633, STR: 109010, VIT: 77502, SPD: 24, LUK: 1, Attack: 201196, Defense: 165070, Current HP: 48633, A Avg: 253506, D Avg: 165070, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
